Course,Course_link,Credential,Length,Area of Interest,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams,TOEFL
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business Fundamentals,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business-fundamentals/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Culinary Arts and Food Science (Honours) (Co-op),https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-culinary-arts-and-food-science/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Cabinetmaking and Furniture Technician,https://www.algonquincollege.com/acce/program/cabinetmaking-and-furniture-technician/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Cardiovascular Technology,https://www.algonquincollege.com/healthandcommunity/program/cardiovascular-technology/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Health Sciences,6,105,53,60,169,80
Carpentry and Renovation Techniques,https://www.algonquincollege.com/pembroke/program/carpentry-renovation-techniques/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Construction and Skilled Trades,6,105,53,60,169,80
Child and Youth Care (Year 1),https://www.algonquincollege.com/online/program-info/child-and-youth-care-year-1/,Ontario College Advanced Diploma,Full-time\nOnline,Community and Social Services,6,105,53,60,169,80
Child and Youth Care (Year 1),https://www.algonquincollege.com/online/program-info/child-and-youth-care-year-1-part-time/,Ontario College Advanced Diploma,Part-time\nOnline,Community and Social Services,6,105,53,60,169,80
Child and Youth Care,https://www.algonquincollege.com/healthandcommunity/program/child-and-youth-care/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Community and Social Services,6,105,53,60,169,80
Cisco Networking Administration,https://www.algonquincollege.com/sat/program/cisco-networking-administration-part-time/,College Certificate,Part-time\nOn Campus,Advanced Technology,6,105,53,60,169,80
Civil Engineering Technology (Co-op and Non Co-op Version),https://www.algonquincollege.com/acce/program/civil-engineering-technology/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Construction and Skilled Trades,6,105,53,60,169,80
Client Relations,https://www.algonquincollege.com/online/program-info/client-relations-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Cloud Development and Operations (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/cloud-development-and-operations/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Advanced Technology,6.5,115,60,70,176,88
Cloud Development and Operations,https://www.algonquincollege.com/online/program-info/cloud-development-and-operations/,Ontario College Graduate Certificate,Full-time\nOnline,Advanced Technology,6.5,115,60,70,176,88
Cloud Development and Operations,https://www.algonquincollege.com/online/program-info/cloud-development-and-operations-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Advanced Technology,6.5,115,60,70,176,88
Commercial Estimating,https://www.algonquincollege.com/online/program-info/commercial-estimating-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Commercial Vehicle and Equipment (Apprenticeship),https://www.algonquincollege.com/sat/program/commercial-vehicle-and-equipment/,Not Applicable,Full-time\nOn Campus\n8 Weeks,Transportation,6.5,115,60,70,176,88
Community and Justice Services,https://www.algonquincollege.com/ppsi/program/community-and-justice-services/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Public Safety and Legal Studies,6,105,53,60,169,80
Community and Justice Services,https://www.algonquincollege.com/online/program-info/community-and-justice-services/,Ontario College Diploma,Full-time\nOnline,Public Safety and Legal Studies,6,105,53,60,169,80
Community and Justice Services,https://www.algonquincollege.com/online/program-info/community-and-justice-services-part-time/,Ontario College Diploma,Part-time\nOnline,Public Safety and Legal Studies,6,105,53,60,169,80
Computer Aided Design and Drafting (formerly AutoCAD),https://www.algonquincollege.com/sat/program/autocad-part-time/,College Certificate,Part-time\nOn Campus,Arts and Design,6,105,53,60,169,80
Computer Engineering Technology - Computing Science (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/computer-engineering-technology-computing-science/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Advanced Technology,6,105,53,60,169,80
Computer Programming (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/computer-programming/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Advanced Technology,6,105,53,60,169,80
Computer Programming (Co-op and Non Co-op Version),https://www.algonquincollege.com/pembroke/program/computer-programming/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Advanced Technology,6,105,53,60,169,80
Computer Programming and Analysis (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/computer-programming-and-analysis/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Advanced Technology,6,105,53,60,169,80
Computer Programming and Analysis,https://www.algonquincollege.com/online/program-info/computer-programming-and-analysis/,Ontario College Advanced Diploma,Full-time\nOnline,Advanced Technology,6,105,53,60,169,80
Computer Programming and Analysis,https://www.algonquincollege.com/online/program-info/computer-programming-and-analysis-part-time/,Ontario College Advanced Diploma,Part-time\nOnline,Advanced Technology,6,105,53,60,169,80
Computer Programming,https://www.algonquincollege.com/international/program/computer-programming-mississauga/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Advanced Technology,6,105,53,60,169,80
Computer Programming,https://www.algonquincollege.com/international/program/computer-programming-north-york/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Advanced Technology,6,105,53,60,169,80
Computer Programming,https://www.algonquincollege.com/online/program-info/computer-programming/,Ontario College Diploma,Full-time\nOnline,Advanced Technology,6,105,53,60,169,80
Computer Programming,https://www.algonquincollege.com/online/program-info/computer-programming-part-time/,Ontario College Diploma,Part-time\nOnline,Advanced Technology,6,105,53,60,169,80
Computer Systems Technician (Co-op and Non Co-op Version),https://www.algonquincollege.com/pembroke/program/computer-systems-technician/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Advanced Technology,6,105,53,60,169,80
Computer Systems Technician - Networking (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/computer-systems-technician-networking/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Advanced Technology,6,105,53,60,169,80
Computer Systems Technology - Security - Pathway for Computer Systems Technician,https://www.algonquincollege.com/sat/program/computer-systems-technology-security-pathway-for-computer-systems-technician/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Advanced Technology,6,105,53,60,169,80
Computer Systems Technology - Security,https://www.algonquincollege.com/sat/program/computer-systems-technology-security/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Advanced Technology,6,105,53,60,169,80
Conflict Management,https://www.algonquincollege.com/online/program-info/conflict-management-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Construction Engineering Technician (Co-op and Non Co-op Version),https://www.algonquincollege.com/acce/program/construction-engineering-technician/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Construction and Skilled Trades,6,105,53,60,169,80
Construction Engineering Technician (Weekend) (Co-op and Non Co-op Version),https://www.algonquincollege.com/acce/program/construction-engineering-technician-weekend/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Construction and Skilled Trades,6,105,53,60,169,80
Construction Management,https://www.algonquincollege.com/online/program-info/construction-management-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Construction Project Management,https://www.algonquincollege.com/online/program-info/construction-project-management/,Ontario College Graduate Certificate,Full-time\nOnline,Construction and Skilled Trades,6.5,115,60,70,176,88
Construction Project Management,https://www.algonquincollege.com/online/program-info/construction-project-management-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Construction and Skilled Trades,6.5,115,60,70,176,88
Contemporary Educational Practices,https://www.algonquincollege.com/online/program-info/contemporary-educational-practices-part-time/,College-approved Certificate,Part-time\nOnline,Community and Social Services,6,105,53,60,169,80
Corporate Training Programs and Courses,https://www.algonquincollege.com/future-students/programs//corporate/,Various,Variable,Corporate Training,6.5,115,60,70,176,88
Creative Writing,https://www.algonquincollege.com/online/program-info/creative-writing-part-time/,College-approved Certificate,Part-time\nOnline,Media and Communications,6,105,53,60,169,80
Culinary Management,https://www.algonquincollege.com/hospitalityandtourism/program/culinary-management/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Culinary Skills - Cook II Apprenticeship,https://www.algonquincollege.com/hospitalityandtourism/program/culinary-skills-cook-ii-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n28 Weeks,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Culinary Skills,https://www.algonquincollege.com/hospitalityandtourism/program/chef-training/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Culinary Skills,https://www.algonquincollege.com/hospitalityandtourism/program/culinary-skills-part-time/,Ontario College Certificate,Part-time\nOn Campus,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Cyber Security Analysis (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/cyber-security-analysis/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Digital Marketing Communication (Honours) (Co-op),https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-digital-marketing-communication/,Honours Degree,Full-time\nOn Campus\n4 Years,Media and Communications,6.5,115,60,70,176,88
Bachelor of Digital Marketing Communication (Honours) (Co-op) Pathway for Business Administration - Marketing and Business,https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-digital-marketing-communication-honours-pathway-for-business-administration-marketing-and-business/,Honours Degree,Full-time\nOn Campus\n4 Years,Media and Communications,6.5,115,60,70,176,88
Bachelor of Digital Marketing Communication (Honours) (Co-op) Pathway for Public Relations,https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-digital-marketing-communication-honours-pathway-for-public-relations/,Honours Degree,Full-time\nOn Campus\n4 Years,Media and Communications,6.5,115,60,70,176,88
Bachelor of Digital Marketing Communications (Honours)(Co-op)Pathway for Advertising and Marketing Communications Management,https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-digital-marketing-communication-honours-pathway-for-advertising-and-marketing-communications-management/,Honours Degree,Full-time\nOn Campus\n4 Years,Media and Communications,6.5,115,60,70,176,88
Dental Assisting (Levels I and II),https://www.algonquincollege.com/healthandcommunity/program/dental-assisting-levels-i-and-ii/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Health Sciences,6,105,53,60,169,80
Dental Hygiene,https://www.algonquincollege.com/healthandcommunity/program/dental-hygiene-3-years/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Health Sciences,6,105,53,60,169,80
Design Foundations,https://www.algonquincollege.com/mediaanddesign/program/design-foundations/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Arts and Design,6,105,53,60,169,80
Developmental Services Worker,https://www.algonquincollege.com/healthandcommunity/program/developmental-services-worker/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Community and Social Services,6,105,53,60,169,80
Diagnostic Cardiac Sonography,https://www.algonquincollege.com/healthandcommunity/program/diagnostic-cardiac-sonography/,Ontario College Graduate Certificate,Full-time\nOn Campus\n2 Years,Health Sciences,6.5,115,60,70,176,88
Diagnostic Medical Sonography,https://www.algonquincollege.com/healthandcommunity/program/diagnostic-medical-sonography/,Ontario College Graduate Certificate,Full-time\nOn Campus\n2 Years,Health Sciences,6.5,115,60,70,176,88
Digital Analytics,https://www.algonquincollege.com/online/program-info/digital-analytics-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Digital Health,https://www.algonquincollege.com/sat/program/digital-health/,Ontario College Graduate Certificate,Full-time\nOn Campus\n42 Weeks,Advanced Technology,6.5,115,60,70,176,88
Digital Health,https://www.algonquincollege.com/healthandcommunity/program/digital-health-part-time/,Ontario College Graduate Certificate,Part-time\nOn Campus,Advanced Technology,6.5,115,60,70,176,88
Drawing Foundations for Animation and Illustration,https://www.algonquincollege.com/mediaanddesign/program/drawing-foundations-for-animation-and-illustration/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Arts and Design,6,105,53,60,169,80
Bachelor of Early Learning and Community Development (Entry Level 5) (Honours),https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development-entry-level/,Honours Degree,Full-time\nOn Campus\n4 Years,Community and Social Services,6.5,115,60,70,176,88
Bachelor of Early Learning and Community Development (Honours),https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/,Honours Degree,Full-time\nOn Campus\n4 Years,Community and Social Services,6.5,115,60,70,176,88
Bachelor of Engineering (Automation and Robotics)(Co-op),https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Engineering (Automation and Robotics)(Co-op) Pathway for Electrical Engineering Technician,https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics-pathway-for-electrical-engineering-technician/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Engineering (Automation and Robotics)(Co-op) Pathway for Electrical Engineering Technology,https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics-pathway-for-electrical-engineering-technology/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Engineering (Automation and Robotics)(Co-op) Pathway for Electro-Mechanical Engineering Technician,https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics-pathway-for-electro-mechanical-engineering-technician/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Engineering (Automation and Robotics)(Co-op) Pathway for Mechanical Engineering Technology,https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics-pathway-for-mechanical-engineering-technology/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
"Bachelor of Event, Sport, and Entertainment Management (Honours)(Co-op)",https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-event-sport-and-entertainment-management/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Early Childhood Education (Intensive),https://www.algonquincollege.com/healthandcommunity/program/early-childhood-education-intensive/,Ontario College Diploma,Full-time\nOn Campus\n34 Weeks,Community and Social Services,6,105,53,60,169,80
Early Childhood Education,https://www.algonquincollege.com/healthandcommunity/program/early-childhood-education/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Community and Social Services,6,105,53,60,169,80
Early Childhood Education,https://www.algonquincollege.com/healthandcommunity/program/early-childhood-education-non-semestered-diploma,Ontario College Diploma,Full-time\nOn Campus\n42 weeks,Community and Social Services,6,105,53,60,169,80
Early Childhood Education,https://www.algonquincollege.com/pembroke/program/early-childhood-education/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Community and Social Services,6,105,53,60,169,80
Early Childhood Education,https://www.algonquincollege.com/perth/program/early-childhood-education/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Community and Social Services,6,105,53,60,169,80
Early Childhood Education,https://www.algonquincollege.com/online/program-info/early-childhood-education/,Ontario College Diploma,Full-time\nOnline,Community and Social Services,6,105,53,60,169,80
Early Childhood Education,https://www.algonquincollege.com/online/program-info/early-childhood-education-part-time/,Ontario College Diploma,Part-time\nOnline,Community and Social Services,6,105,53,60,169,80
Electrical Engineering Technician (Co-op and Non Co-op Version),https://www.algonquincollege.com/acce/program/electrical-engineering-technician/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Construction and Skilled Trades,6,105,53,60,169,80
Electrical Engineering Technology (Co-op and Non Co-op Version),https://www.algonquincollege.com/acce/program/electrical-engineering-technology/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Construction and Skilled Trades,6,105,53,60,169,80
Electrical Techniques - Apprenticeship,https://www.algonquincollege.com/acce/program/electrical-techniques-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n28 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Electromechanical Engineering Technician (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/electro-mechanical-engineering-technician-robotics/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Advanced Technology,6,105,53,60,169,80
Emergency Management,https://www.algonquincollege.com/online/program-info/emergency-management/,Ontario College Graduate Certificate,Full-time\nOnline,Public Safety and Legal Studies,6.5,115,60,70,176,88
Emergency Management,https://www.algonquincollege.com/online/program-info/emergency-management-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Public Safety and Legal Studies,6.5,115,60,70,176,88
Energy Management (Co-op and Non Co-op Version),https://www.algonquincollege.com/acce/program/energy-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Construction and Skilled Trades,6.5,115,60,70,176,88
Environmental Management and Assessment (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/environmental-management-and-assessment/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Environmental and Applied Sciences,6.5,115,60,70,176,88
Environmental Management and Assessment (Co-op and Non Co-op Version),https://www.algonquincollege.com/pembroke/program/environmental-management-and-assessment/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Environmental and Applied Sciences,6.5,115,60,70,176,88
Environmental Technician (Co-op and Non Co-op Version),https://www.algonquincollege.com/pembroke/program/environmental-technician/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Environmental and Applied Sciences,6,105,53,60,169,80
Esthetician,https://www.algonquincollege.com/hospitalityandtourism/program/esthetician/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Esthetics,https://www.algonquincollege.com/hospitalityandtourism/program/esthetics-part-time/,College Certificate,Part-time\nOn Campus,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Event Management,https://www.algonquincollege.com/hospitalityandtourism/program/event-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Film and Media Production,https://www.algonquincollege.com/mediaanddesign/program/film-and-media-production/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Media and Communications,6,105,53,60,169,80
Financial Services - Canadian Context,https://www.algonquincollege.com/business/program/financial-services-canadian-context/,Ontario College Graduate Certificate,Full-time\nOn Campus\n2 Years,Business,6.5,115,60,70,176,88
Fitness and Health Promotion,https://www.algonquincollege.com/healthandcommunity/program/fitness-and-health-promotion/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Fitness and Health Promotion,https://www.algonquincollege.com/online/program-info/fitness-and-health-promotion/,Ontario College Diploma,Full-time\nOnline,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Fitness and Health Promotion,https://www.algonquincollege.com/online/program-info/fitness-and-health-promotion-part-time/,Ontario College Diploma,Part-time\nOnline,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Fitness and Lifestyle Management,https://www.algonquincollege.com/online/program-info/fitness-and-lifestyle-management-part-time/,College-approved Certificate,Part-time\nOnline,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Food and Nutrition Management,https://www.algonquincollege.com/hospitalityandtourism/program/food-and-nutrition-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Food Service Worker,https://www.algonquincollege.com/hospitalityandtourism/program/food-service-worker-part-time/,College Certificate,Part-time\nOn Campus,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Forensic Accounting and Fraud Investigations,https://www.algonquincollege.com/online/program-info/forensic-accounting-and-fraud-investigations/,Ontario College Graduate Certificate,Full-time\nOnline,Business,6.5,115,60,70,176,88
Forensic Accounting and Fraud Investigations,https://www.algonquincollege.com/online/program-info/forensic-accounting-and-fraud-investigations-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Business,6.5,115,60,70,176,88
Forestry Technician,https://www.algonquincollege.com/pembroke/program/forestry-technician/,Ontario College Diploma,Full-time\nOn Campus\n45 Weeks,Environmental and Applied Sciences,6,105,53,60,169,80
Fundraising Management,https://www.algonquincollege.com/online/program-info/fundraising-management-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Game Development,https://www.algonquincollege.com/mediaanddesign/program/game-development/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Arts and Design,6,105,53,60,169,80
Gas Technician 2,https://www.algonquincollege.com/acce/program/gas-technician-2-part-time/,College Certificate,Part-time\nOn Campus,Construction and Skilled Trades,6,105,53,60,169,80
Gas Technician 3,https://www.algonquincollege.com/acce/program/gas-technician-3-part-time/,College Certificate,Part-time\nOn Campus,Construction and Skilled Trades,6,105,53,60,169,80
General Arts and Science - Aviation Management,https://www.algonquincollege.com/sat/program/aviation-management-general-arts-and-science/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Transportation,6,105,53,60,169,80
General Arts and Science - English for Academic Purposes (Canadian),https://www.algonquincollege.com/languages/program/english-for-academic-purposes-canadian/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Media and Communications,6,105,53,60,169,80
General Arts and Science - English for Academic Purposes (EAP) (International),https://www.algonquincollege.com/languages/program/gas-english-for-academic-purposes-international/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Media and Communications,6,105,53,60,169,80
General Arts and Science - One-Year - Aboriginal Studies,https://www.algonquincollege.com/generalarts/program/aboriginal-studies/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Community and Social Services,6,105,53,60,169,80
General Arts and Science - One-Year,https://www.algonquincollege.com/pembroke/program/general-arts-and-science/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Media and Communications,6,105,53,60,169,80
General Arts and Science - Year II,https://www.algonquincollege.com/generalarts/program/general-arts-and-science-year-ii/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Media and Communications,6,105,53,60,169,80
General Construction Carpentry Techniques - Apprenticeship,https://www.algonquincollege.com/acce/program/general-construction-carpentry-techniques-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n24 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
General Construction Carpentry Techniques - Apprenticeship,https://www.algonquincollege.com/pembroke/program/general-construction-carpentry-techniques-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n24 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Geographic Information Systems (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/geographic-information-systems/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Advanced Technology,6.5,115,60,70,176,88
Geographic Information Systems (Co-op and Non Co-op Version),https://www.algonquincollege.com/pembroke/program/geographic-information-systems/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Advanced Technology,6.5,115,60,70,176,88
Graphic Design,https://www.algonquincollege.com/mediaanddesign/program/graphic-design/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Arts and Design,6,105,53,60,169,80
Green Architecture,https://www.algonquincollege.com/acce/program/green-architecture/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Hospitality and Tourism Management (Honours) (Co-op),https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Hospitality and Tourism Management (Honours) (Co-op) Pathway for Business,https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-honours-pathway-for-business/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Hospitality and Tourism Management (Honours) (Co-op) Pathway for Culinary Management,https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-honours-pathway-for-culinary-management/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Hospitality and Tourism Management (Honours) (Co-op) Pathway for Hospitality - Hotel and Restaurant Operations Management,https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-honours-pathway-for-hospitality/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Hospitality and Tourism Management (Honours) (Co-op)Pathway for Tourism-Travel Services,https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-honours-pathway-for-tourism-travel-services/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Hairstyling,https://www.algonquincollege.com/hospitalityandtourism/program/hairstyling/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Hairstyling Techniques - Apprenticeship,https://www.algonquincollege.com/hospitalityandtourism/program/hairstyling-techniques-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n16 Weeks,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
"Heating, Refrigeration and Air Conditioning Technician",https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Heritage Carpentry and Joinery,https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Construction and Skilled Trades,6,105,53,60,169,80
Home Inspection,https://www.algonquincollege.com/online/program-info/home-inspection-part-time/,College-approved Certificate,Part-time\nOnline,Construction and Skilled Trades,6,105,53,60,169,80
Horticultural Industries (Co-op),https://www.algonquincollege.com/acce/program/horticultural-industries/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Construction and Skilled Trades,6,105,53,60,169,80
Horticulture Techniques - Apprenticeship,https://www.algonquincollege.com/acce/program/horticulture-techniques-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n24 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Hospitality - Hotel and Restaurant Operations Management,https://www.algonquincollege.com/hospitalityandtourism/program/hospitality-hotel-restaurant-operations-management/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Human Resources Management,https://www.algonquincollege.com/business/program/human-resources-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Business,6.5,115,60,70,176,88
Human Resources Management,https://www.algonquincollege.com/online/program-info/human-resources-management-ontario-college-graduate-certificate/,Ontario College Graduate Certificate,Full-time\nOnline,Business,6.5,115,60,70,176,88
Human Resources Management,https://www.algonquincollege.com/online/program-info/human-resources-management-ontario-college-graduate-certificate-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Business,6.5,115,60,70,176,88
Human Resources Management Studies,https://www.algonquincollege.com/online/program-info/human-resources-management-studies-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Human Services Foundations,https://www.algonquincollege.com/healthandcommunity/program/human-services-foundations/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Community and Social Services,6,105,53,60,169,80
